use_id,user_id,platform,platform_version,device,use_type_id
22782,26980,ios,10.2,"iPhone7,2",2
22783,29628,android,6,Nexus 5,3
22784,28473,android,5.1,SM-G903F,1
22785,15200,ios,10.2,"iPhone7,2",3
22786,28239,android,6,ONE E1003,1
22787,12921,android,4.3,GT-I9505,1
22788,28714,android,6,SM-G930F,1
22789,28714,android,6,SM-G930F,1
22790,29592,android,5.1,D2303,1
22791,28775,ios,10.2,"iPhone6,2",3
22792,28217,android,5.1,SM-G361F,1
22793,28217,android,5.1,SM-G361F,1
22794,28217,android,5.1,SM-G361F,1
22795,28217,android,5.1,SM-G361F,1
22796,29641,ios,10.2,"iPhone7,2",3
22797,29642,ios,10.1,"iPhone5,2",3
22798,29642,ios,10.1,"iPhone5,2",3
22799,29643,android,6,ONEPLUS A3003,1
22800,14785,android,4.4,SM-A300FU,1
22801,10976,android,4.4,GT-I9505,1
22802,10976,android,4.4,GT-I9505,3
22803,29644,android,5.1,ONE E1003,3
22804,29645,android,6,SM-G935F,1
22805,29646,android,4.2,GT-I9195,1
22806,21615,android,6,A0001,1
22807,29647,android,6,ONEPLUS A3003,1
22808,29065,android,6,SM-G900F,1
22809,29648,ios,10.2,"iPhone7,2",3
22810,29649,ios,10.2,"iPhone8,1",3
22811,29650,ios,9.3,"iPad3,1",3
22812,29650,ios,9.3,"iPad3,1",3
22813,23415,android,4.4,HTC Desire 510,1
22814,23415,android,4.4,HTC Desire 510,1
22815,23415,android,4.4,HTC Desire 510,1
22816,23415,android,4.4,HTC Desire 510,1
22817,23415,android,4.4,HTC Desire 510,1
22818,23415,android,4.4,HTC Desire 510,3
22819,29651,android,4.4,HTC One mini 2,1
22820,29651,android,4.4,HTC One mini 2,1
22821,29651,android,4.4,HTC One mini 2,3
22822,29651,android,4.4,HTC One mini 2,1
22823,29652,android,6,SM-G900F,1
22824,28953,android,6,SM-G900F,1
22825,26668,ios,10.1,"iPhone9,4",2
22826,26668,ios,10.1,"iPhone9,4",2
22827,29641,ios,10.2,"iPhone7,2",3
22828,29641,ios,10.2,"iPhone7,2",3
22829,29653,ios,10.1,"iPhone7,2",2
22830,29065,android,6,SM-G900F,1
22831,6541,android,4.1,GT-I8190N,1
22832,29295,android,6,D5803,1
22833,24847,android,6,E6653,1
22834,29654,android,6,SM-G900F,1
22835,29352,android,6,SM-G920F,3
22836,29352,android,6,SM-G920F,3
22837,29641,ios,10.2,"iPhone7,2",3
22838,23321,ios,9.3,"iPhone7,2",2
22839,29655,android,6,A0001,1
22840,28551,android,6,SM-G935F,1
22841,29656,android,5.1,SM-G361F,3
22842,29657,ios,10.2,"iPhone8,4",3
22843,29657,ios,10.2,"iPhone8,4",3
22844,29658,ios,9.3,"iPad2,4",3
22845,29658,ios,9.3,"iPad2,4",3
22846,29658,ios,9.3,"iPad2,4",3
22847,29658,ios,9.3,"iPad2,4",3
22848,29658,ios,9.3,"iPad2,4",3
22849,29659,android,6,SM-A310F,1
22850,29659,android,6,SM-A310F,1
22851,28796,ios,10,"iPhone5,2",3
22852,29518,android,6,SM-G935F,1
22853,29518,android,6,SM-G935F,1
22854,29592,android,5.1,D2303,1
22855,3191,android,6,SM-N910F,1
22856,29660,android,4.4,SM-G360F,1
22857,26369,ios,10.2,"iPhone7,2",2
22858,29544,android,7,ONEPLUS A3003,1
22859,11125,ios,10.1,"iPhone7,2",2
22860,24747,ios,9.3,"iPhone4,1",3
22861,16663,android,4.1,HTC One S,1
22862,16663,android,4.1,HTC One S,1
22863,29647,android,6,ONEPLUS A3003,1
22864,14720,android,6,SM-G900F,1
22865,14720,android,6,SM-G900F,1
22866,14720,android,6,SM-G900F,1
22867,29661,ios,10.2,"iPhone5,2",2
22868,29661,ios,10.2,"iPhone5,2",2
22869,23349,ios,10.2,"iPhone7,2",2
22870,23349,ios,10.2,"iPhone7,2",2
22871,18883,android,4.3,GT-I9300,1
22872,18883,android,4.3,GT-I9300,3
22873,29662,android,5.1,SM-J320FN,1
22874,27142,android,6,SM-G900F,1
22875,27593,android,5,GT-I9505,1
22876,27593,android,5,GT-I9505,1
22877,29663,android,6,ONE E1003,3
22878,19912,ios,10.2,"iPhone8,1",3
22879,29664,android,6,HTC Desire 530,1
22880,29366,android,5,GT-I9505,1
22881,29665,android,6,HTC Desire 825,1
22882,29666,android,6,F3111,1
22883,29666,android,6,F3111,1
22884,29666,android,6,F3111,1
22885,12438,android,6,SM-G900F,1
22886,29667,android,5.1,SM-G800F,1
22887,29310,android,4.4,GT-I9195,1
22888,29668,android,5,GT-I9505,1
22889,29669,android,6,SM-G920F,1
22890,14268,android,6,SM-G900F,1
22891,29670,android,5,SM-N9005,1
22892,29671,android,7.1,Nexus 5X,1
22893,29672,ios,10.1,"iPhone9,3",3
22894,26335,ios,10.2,"iPhone8,4",2
22895,29673,android,6,SM-G925F,1
22896,29673,android,6,SM-G925F,1
22897,14720,android,6,SM-G900F,1
22898,29674,ios,10.2,"iPhone7,2",3
22899,29673,android,6,SM-G925F,3
22900,29673,android,6,SM-G925F,3
22901,29673,android,6,SM-G925F,3
22902,29673,android,6,SM-G925F,1
22903,29675,android,6,SM-N910F,1
22904,28725,ios,9.3,"iPhone4,1",2
22905,28725,ios,9.3,"iPhone4,1",2
22906,28725,ios,9.3,"iPhone4,1",2
22907,16068,android,5,SM-G900F,1
22908,10563,android,5,GT-I9505,1
22909,29169,android,6,HTC Desire 825,1
22910,28601,ios,7.1,"iPhone3,1",3
22911,29676,ios,10.2,"iPhone5,4",3
22912,10847,android,6,SM-N910F,1
22913,29677,ios,7.1,"iPhone3,2",3
22914,23738,ios,10,"iPad4,5",2
22915,29678,ios,10.2,"iPhone7,2",2
22916,19526,android,4.4,GT-I9195,1
22917,29319,ios,10.2,"iPhone6,2",2
22918,21186,ios,10.1,"iPhone5,2",3
22919,29679,ios,10.1,"iPad4,1",3
22920,18833,android,6,D6603,1
22921,18833,android,6,D6603,1
22922,28845,android,6,LG-H815,1
22923,6111,android,5,GT-I9505,1
22924,14323,ios,10,"iPhone6,2",2
22925,29680,ios,10.1,"iPhone7,2",3
22926,29681,android,5,GT-I9515,1
22927,29681,android,5,GT-I9515,1
22928,29682,android,6,EVA-L09,3
22929,23349,ios,10.2,"iPhone7,2",2
22930,29683,ios,10.2,"iPhone7,2",2
22931,29684,android,6,EVA-L09,1
22932,29685,android,6,SM-G900F,1
22933,29685,android,6,SM-G900F,1
22934,29685,android,6,SM-G900F,1
22935,29065,android,6,SM-G900F,1
22936,28420,android,6,ONEPLUS A3003,1
22937,29686,android,6,HTC One M9,1
22938,29687,android,6,SM-G920F,1
22939,14785,android,4.4,SM-A300FU,1
22940,19524,ios,9.3,"iPhone4,1",2
22941,29688,android,6,SM-G920F,1
22942,20474,android,5,GT-I9505,1
22943,29689,android,4.1,GT-N7100,1
22944,29689,android,4.1,GT-N7100,1
22945,28962,android,6,HTC Desire 626,1
22946,28962,android,6,HTC Desire 626,1
22947,8981,ios,10,"iPhone7,2",3
22948,29319,ios,10.2,"iPhone6,2",2
22949,29673,android,6,SM-G925F,1
22950,29454,android,6,Moto G (4),1
22951,29454,android,6,Moto G (4),1
22952,28431,ios,10.2,"iPhone7,2",3
22953,29690,ios,9.2,"iPhone7,2",2
22954,24306,ios,10.2,"iPhone7,2",2
22955,26797,android,4.3,GT-I9300,1
22956,29691,ios,9.3,"iPhone6,2",2
22957,29691,ios,9.3,"iPhone6,2",2
22958,29691,ios,9.3,"iPhone6,2",2
22959,29691,ios,9.3,"iPhone6,2",2
22960,29691,ios,9.3,"iPhone6,2",2
22961,29692,ios,9.3,"iPhone6,2",2
22962,27670,android,6,SM-N910F,1
22963,22763,android,6,ONE A2003,1
22964,14268,android,6,SM-G900F,1
22965,2873,android,5,GT-I9505,1
22966,29693,android,6,SM-G900F,1
22967,29694,android,6,SM-A500FU,1
22968,29695,android,6,ONEPLUS A3003,1
22969,29695,android,6,ONEPLUS A3003,1
22970,16068,android,5,SM-G900F,1
22971,29696,android,5.1,SM-G903F,1
22972,29696,android,5.1,SM-G903F,1
22973,29697,ios,9,"iPhone5,4",3
22974,29698,android,5.1,Lenovo K51c78,1
22975,28953,android,6,SM-G900F,1
22976,29699,ios,10.2,"iPhone6,2",3
22977,24520,android,5,GT-I9505,1
22978,29700,android,6,SM-G900F,1
22979,16673,android,5.1,D5503,1
22980,29701,android,4.4,SM-G900F,1
22981,18108,android,4.4,X11,1
22982,26565,android,6,SM-G935F,1
22983,29445,ios,10.2,"iPhone6,2",3
22984,29445,ios,10.2,"iPhone6,2",3
22985,6356,android,5,GT-I9515,1
22986,16673,android,5.1,D5503,1
22987,29665,android,6,HTC Desire 825,1
22988,29702,android,5,SM-G360F,1
22989,29703,android,6,HUAWEI VNS-L31,1
22990,29703,android,6,HUAWEI VNS-L31,3
22991,29704,android,6,SM-G900F,1
22992,27965,android,6,SM-N910F,1
22993,27965,android,6,SM-N910F,3
22994,29705,android,6,SM-A300FU,1
22995,29705,android,6,SM-A300FU,1
22996,29319,ios,10.2,"iPhone6,2",2
22997,26328,android,5,GT-I9505,1
22998,29439,android,6,SM-G920F,1
22999,29706,android,5,GT-I9506,1
23000,29703,android,6,HUAWEI VNS-L31,3
23001,28898,android,6,SM-G920F,3
23002,28898,android,6,SM-G920F,1
23003,29707,android,5.1,HUAWEI CUN-L01,1
23004,29708,ios,10.2,"iPhone7,2",2
23005,26691,android,6,SM-G900F,1
23006,29709,ios,10.1,"iPhone7,2",2
23007,29710,ios,10.1,"iPhone6,2",3
23008,29710,ios,10.1,"iPhone6,2",3
23009,29710,ios,10.1,"iPhone6,2",3
23010,29710,ios,10.1,"iPhone6,2",3
23011,29710,ios,10.1,"iPhone6,2",3
23012,29711,ios,9.3,"iPhone6,2",2
23013,14268,android,6,SM-G900F,1
23014,29710,ios,10.1,"iPhone6,2",3
23015,28945,android,6,SM-A300FU,1
23016,29712,android,6,SM-G900F,1
23017,29666,android,6,F3111,1
23018,29454,android,6,Moto G (4),1
23019,29713,android,5.1,SM-J320FN,1
23020,29714,android,5.1,SM-G361F,1
23021,28220,android,6,SM-G930F,1
23022,25498,ios,10.2,"iPad5,3",2
23023,29647,android,7,ONEPLUS A3003,1
23024,28637,android,6,MotoE2(4G-LTE),1
23025,29715,ios,10.1,"iPhone6,2",3
23026,22763,android,6,ONE A2003,1
23027,18108,android,4.4,X11,1
23028,29716,android,5.1,C6603,1
23029,29717,android,6,HTC One_M8,1
23030,27979,android,5.1,SM-J320FN,1
23031,27979,android,5.1,SM-J320FN,1
23032,27979,android,5.1,SM-J320FN,1
23033,28316,ios,10.2,"iPhone7,1",2
23034,27979,android,5.1,SM-J320FN,3
23035,29718,ios,10.2,"iPhone7,2",3
23036,29719,android,5.1,VF-795,1
23037,29720,ios,10.2,"iPhone7,1",3
23038,29720,ios,10.2,"iPhone7,1",2
23039,29721,android,5.1,SM-G531F,1
23040,29723,android,4.4,HTC Desire 620,1
23041,28953,android,6,SM-G900F,1
23042,28953,android,6,SM-G900F,3
23043,28953,android,6,SM-G900F,1
23044,28953,android,6,SM-G900F,1
23045,29720,ios,10.2,"iPhone7,1",2
23046,29454,android,6,Moto G (4),1
23047,29720,ios,10.2,"iPhone7,1",2
23048,29724,android,6,ONEPLUS A3003,3
23049,29725,android,6,SM-G900F,1
23050,29726,ios,10.2,"iPhone7,2",3
23051,29726,ios,10.2,"iPhone7,2",3
23052,29727,ios,10.1,"iPhone8,4",3
23053,20257,android,5.1,Vodafone Smart ultra 6,1
